郵便番号,都道府県名,住所,施設名,屋内外,適用エリア,13CH,14CH,15CH,16CH,17CH,18CH,19CH,20CH,21CH,22CH,23CH,24CH,25CH,26CH,27CH,28CH,29CH,30CH,31CH,32CH,33CH,34CH,35CH,36CH,37CH,38CH,39CH,40CH,41CH,42CH,43CH,44CH,45CH,46CH,47CH,48CH,49CH,50CH,51CH,52CH,53CH
078-4106,北海道,苫前郡羽幌町南6条2,羽幌町立中央公民館,屋内,大ホール,,,,,,,,,,,,,,,,,,,○,○,○,,○,,○,○,,○,,○,○,○,○,,○,,○,○,○,○,○
078-4113,北海道,苫前郡羽幌町北3条1,ほっと・はぼろ,屋外,,,,,,,,,,,,,,,,,,,,○,○,○,,○,,○,○,,○,,○,○,○,○,,○,,○,○,○,○,○
078-4400,北海道,苫前郡初山別村字豊岬153-1,☆ロマン街道しょさんべつ,屋外,,,,,,,,,,,,,,,,,,,,,,○,,○,,○,,,○,,,○,,,,,,,○,○,○,○
078-8205,北海道,旭川市東旭川町倉沼11-18,旭川市旭山動物園,屋外,,,,,,,,,,,,,,,,,,,,,,○,,,,○,,○,○,,,,○,,○,,○,,,,,○
070-0000,北海道,旭川市宮前通東,旭川市科学館サイパル,屋内,常設展示室,,,,,,,,,,,,,,,,,○,○,,○,,,,,,,,○,,,,,,,,○,,,,,○
072-0000,北海道,美唄市字茶志内250-1,アルペンゴルフクラブ美唄コース,屋外,クラブハウス周辺,,,,,,,,,,,,,,,○,○,,,,,,,○,,,,,,,,,,,,,,,,,○,○
079-0300,北海道,空知郡奈井江町字奈井江28-1,ハウスヤルビ奈井江,屋外,,,,,,,,,,,,,,,,,○,,,,○,,,○,,,,,,,,,,,,,,,,,,○
079-0463,北海道,滝川市江部乙町東11-13-3,道の駅たきかわ,屋外,,,,,,○,,,,,,,○,,○,○,○,,,,,,,○,,,,,,,,,,,,,,,,,,○
079-2200,北海道,勇払郡占冠村字中央,自然体感しむかっぷ,屋外,,○,,,,,,,,,,,,,,,,○,○,○,,,,,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
079-2400,北海道,空知郡南富良野町字幾寅687-1,道の駅南ふらの,屋外,,,○,,,,,,,,,,,,○,,,,,,,,,,,,○,,,,,,,,,,,,,,○,○
079-8431,北海道,旭川市永山町16-186,北海道ガーデン街道上野ファーム,屋外,,,,,,,,,,,,,,,,,,,,,,○,,,,○,,○,,,,,○,,○,,○,,,,,○
080-0012,北海道,帯広市西2条南13-1,ホテル日航ノースランド帯広,屋内,ノースランドホール,,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
080-0014,北海道,帯広市西4条南9,帯広道新文化センター,屋内,カルチャースクール,,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
080-0014,北海道,帯広市西4条南9,帯広道新文化センター,屋内,大会議場,,,,,,,,,,,,,,,,,○,,○,○,○,○,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
080-0014,北海道,帯広市西4条南13,とかちプラザ,屋内,レインボーホール,,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
080-0014,北海道,帯広市西4条南13,とかちプラザ,屋外,,,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
080-0015,北海道,帯広市西5条南7-2-2,ＮＨＫ帯広放送局,屋内,第1スタジオ,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
080-0015,北海道,帯広市西5条南7-2-2,ＮＨＫ帯広放送局,屋内,ＮＣ,,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
080-0015,北海道,帯広市西5条南7-2-2,ＮＨＫ帯広放送局,屋外,,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
080-0015,北海道,帯広市西5条南11-48-2,帯広市民文化ホール,屋内,大ホール,,,,,,,,,,,,,,,○,,○,,○,○,○,○,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
080-0015,北海道,帯広市西5条南11-48-2,帯広市民文化ホール,屋外,,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
080-0000,北海道,帯広市西13条南9,帯広競馬場,屋外,南側 広場,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
080-0000,北海道,帯広市西13条南9,帯広競馬場,屋外,北側 観客席,,,,,,,,,,,,,,,,,○,,○,○,○,○,○,○,○,,○,,○,,○,,○,,,,○,,○,○,○
080-0263,北海道,河東郡音更町十勝川温泉南15-1,ホテル大平原,屋内,コンベンションホール,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
080-0263,北海道,河東郡音更町十勝川温泉南15-1,ホテル大平原,屋内,スカイレストラン「ル シェール」,,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
080-0301,北海道,河東郡音更町木野大通西19-5,道の駅おとふけ,屋外,,,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
080-0302,北海道,河東郡音更町木野西通15-8,音更町文化センター,屋内,大ホール,,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
080-0806,北海道,帯広市東6条南5,帯広MEGA STONE,屋内,ステージ,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
080-0856,北海道,帯広市南町南7線56-7,帯広の森アイスアリーナ,屋内,スケートリンク,,,,,,,,,,,,,,,○,,○,,○,○,○,○,○,○,○,,○,,○,,,,○,,○,,,,○,○,○
080-0856,北海道,帯広市南町南7線56-7,明治北海道十勝オーバル,屋外,,,,,,,,,,,,,,,,,,○,,○,○,○,○,○,○,○,,○,,○,,,,○,,,,,,○,○,○
080-1200,北海道,河東郡士幌町字下居辺西2線134,しほろ温泉,屋外,,,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
080-1200,北海道,河東郡士幌町字士幌西2線147,ピア２１しほろ,屋外,,,,,,,,,,,,,,,,,,○,,○,○,○,○,○,○,○,,○,,○,,○,,○,,,,○,,○,○,○
080-1200,北海道,河東郡士幌町字士幌225,士幌町総合研修センター,屋内,アリーナ,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,○,○,,○,,○,,○,,○,,,,○,,○,○,○
080-1200,北海道,河東郡士幌町字士幌225,士幌町総合研修センター,屋内,ふれあいホール,,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,○,,○,,○,,○,,○,,,,○,,○,○,○
080-1400,北海道,河東郡上士幌町基線241,上士幌町航空公園,屋外,特設会場,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,○,○,,○,,○,,○,,○,,,,○,,○,○,○
080-1400,北海道,河東郡上士幌町字上士幌東3線238,山村開発センター,屋内,コミュニティホール,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,○,○,,○,,○,,○,,○,,,,○,,○,○,○
080-1400,北海道,河東郡上士幌町字ぬかびら源泉郷北区44-3,糠平温泉文化ホール,屋内,ホール,,○,,○,,○,,○,,○,,○,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
081-0014,北海道,上川郡新得町4条南4-9,新得町公民館,屋内,大ホール、ふれあいホール,,,,,,,,,,,,,,,,,,,,,○,○,○,○,○,,,,,,,,,,,,,,,○,○
081-0222,北海道,河東郡鹿追町東町3-2,鹿追町民ホール,屋内,ホワイトホール,,,,,,,,,,,,,,,○,,○,,○,○,○,○,○,○,○,○,○,,○,,○,,○,,○,○,○,,○,○,○
081-0222,北海道,河東郡鹿追町東町3-2,道の駅しかおい,屋外,,,,,,,,,,,,,,,,,,○,,○,○,○,○,○,○,○,○,○,,○,,○,,○,,○,○,○,,○,○,○
081-0341,北海道,河東郡鹿追町瓜幕西3-1外,道の駅うりまく,屋外,,,,,,,,,,,,,,,,,,○,,○,○,○,○,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
082-0013,北海道,河西郡芽室町東3条3,芽室町中央公民館,屋内,ホール,,,,,,,,,,,,,,,○,,○,,○,○,○,○,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
082-0030,北海道,河西郡芽室町本通1-19,めむろ駅前プラザ「めむろーど」,屋内,セミナーホール,,,,,,,,,,,,,,,,,○,,○,○,○,○,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
083-0021,北海道,中川郡池田町西1条1,池田町田園ホール,屋内,オークプラザ,,,,,,,,,,,,,,,○,,○,,○,○,○,○,○,○,,,○,,○,,○,,○,,○,,,○,,○,○
084-0906,北海道,釧路市鳥取大通3-6-33,釧路アイスアリーナ（丹頂アリーナ）,屋内,スケートリンク,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,,,,,○,○,,,,,,,,○,○,○,○,○,○,○
085-0013,北海道,釧路市栄町2-3,釧路club GREEN,屋内,ライブハウス,○,○,,○,,○,,○,,○,,○,,○,,,,,,,,,,,,,,,,,,,,,,,○,,○,○,○
085-0016,北海道,釧路市錦町3-7,ANAクラウンプラザホテル釧路,屋内,万葉,○,○,,○,,○,,○,,○,,○,,○,,,,,,,,,,,,,,,,,,,,,,,○,,○,○,○
085-0017,北海道,釧路市幸町3-3,釧路市観光国際交流センター,屋内,ホール、アトリウム,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,,,,,○,○,,,,,,,,○,○,○,○,○,○,○
085-0037,北海道,釧路市柳町1-1,釧路市柳町スケート場,屋外,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,,,,,○,○,,,,,,,,○,○,○,○,○,○,○
085-0055,北海道,釧路市治水町12-10,釧路市民文化会館,屋内,大ホール,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,,,,,○,○,,,,,,,,○,○,○,○,○,○,○
085-0064,北海道,釧路市広里18,湿原の風アリーナ釧路,屋内,メインアリーナ,○,○,,○,,○,,○,,○,,○,,○,,,,,,,,,,,,,,,,,,,,,,,○,,○,○,○
085-0245,北海道,釧路市阿寒町上阿寒23線38,阿寒丹頂の里,屋外,,,,,,,,,,,,,,,,,,,,,,,,○,,,○,○,○,,○,,,,,○,○,○,○,○,○,○
085-0000,北海道,釧路市阿寒町阿寒湖温泉4-6-10,あかん遊久の里 鶴雅,屋内,大広間「ウタサ・ミナ」,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,○
085-0000,北海道,釧路市阿寒町阿寒湖温泉4-6-10,あかん遊久の里 鶴雅,屋内,大宴会場「大地の詩」,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,○
085-0836,北海道,釧路市幣舞町3-8,ＮＨＫ釧路放送局,屋内,第1スタジオ,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,,,,,○,○,,,,,,,,○,○,○,○,○,○,○
085-0836,北海道,釧路市幣舞町3-8,ＮＨＫ釧路放送局,屋内,ＮＣ,○,○,,○,,○,,○,,○,,○,,○,,,,,,,,,,,,,,,,,,,,,,,○,,○,○,○
085-0836,北海道,釧路市幣舞町3-8,ＮＨＫ釧路放送局,屋外,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,,,,,○,,,,,,,,,○,,○,,○,○,○
085-0836,北海道,釧路市幣舞町4-28,釧路市生涯学習センター,屋内,大ホール,○,○,,○,,○,,○,,○,,○,,○,,,,,,,,,,,,○,,,,,,,,,○,,○,,○,○,○
085-0836,北海道,釧路市幣舞町4-28,釧路市生涯学習センター,屋内,多目的ホール,,○,,○,,○,,○,,○,,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○
085-0837,北海道,釧路市大川町2-5,釧路センチュリーキャッスルホテル,屋内,鳳凰の間,○,○,,○,,○,,○,,○,,○,,○,,,,,,,,,,,,,,,,,,,,,,○,○,○,○,○,○
085-0846,北海道,釧路市入舟4-1,港町かもめホールＲ,屋内,NAVANA dance studio,,,,○,,○,,○,,○,,○,,○,,,,,,,,,,,,,,,,,,,,,,,○,,○,○,○
086-0073,北海道,根室市酪陽1,スワン４４ねむろ,屋外,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○
086-1002,北海道,標津郡中標津町東2条南3-1-1,中標津町総合文化会館,屋内,大ホール,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○
086-1002,北海道,標津郡中標津町東2条南3-1-1,中標津町総合文化会館,屋外,,,,○,,○,,○,,○,,○,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○
086-1145,北海道,標津郡中標津町北中16-9,中標津空港,屋外,旧滑走路特設会場,○,○,○,○,○,○,○,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○
086-1651,北海道,標津郡標津町南1条西5-5-3,標津町生涯学習センター【あすぱる】,屋内,多目的ホール,,,○,,○,,○,,○,,○,,○,,,,,,,,,,,,,,,○,,○,,○,,,,,,○,○,○,○
086-1631,北海道,標津郡標津町北1条西6,標津サーモンパーク,屋外,駐車場,○,○,○,○,○,○,○,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○
086-1641,北海道,野付郡別海町尾岱沼5-27,道の駅おだいとう,屋外,,,,○,,○,,○,,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○
086-1823,北海道,目梨郡羅臼町栄町102,羅臼町公民館,屋内,大集会室（ホール）,,,,,,,,,,,,,,,○,,,,,,,,,,,,○,○,○,○,○,,,,,,,,,○,○
086-1833,北海道,目梨郡羅臼町本町361-1,道の駅知床・らうす,屋外,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,○,○,○,○
087-0006,北海道,根室市曙町1-40,根室市総合文化会館,屋内,大ホール,○,,○,,○,,○,,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○
088-0562,北海道,白糠郡白糠町コイトイ40-3,しらぬか恋問,屋外,,,○,,○,,○,,○,,○,,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○
088-0621,北海道,釧路郡釧路町桂木1-1-7,イオン釧路,屋内,1Fテナント内,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,,,,,,,,,,,,,,,,○,○,○,○,○,○
088-0621,北海道,釧路郡釧路町桂木1-1-7,イオン釧路,屋内,2Fテナント内,○,○,,○,,○,,○,,○,,○,,○,,,,,,,,,,,,,,,,,,,,,,○,○,○,○,○,○
088-1119,北海道,厚岸郡厚岸町住の江2-2,厚岸グルメパーク,屋外,,,○,○,○,○,○,○,,,,,○,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,○
088-1553,北海道,厚岸郡浜中町霧多布西3条1-47,浜中町総合文化センター,屋内,多目的大ホール,,,,○,○,,,,,,,,,○,,,,,,,,,○,,,○,○,,,,,,,○,,○,○,○,○,○,○
088-3203,北海道,川上郡弟子屈町湯の島3-3-40,道の駅摩周温泉,屋外,,,,,,,,,,,,,,,,,,,,,,,,○,,,○,,○,,○,,,,,,○,,,○,,○
089-0371,北海道,上川郡清水町御影東1条5丁目1-1,清水町御影公民館,屋内,大集会室,,,,,,,,,,,,,,,○,,○,,○,○,○,○,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
089-0356,北海道,上川郡清水町羽帯南10線103-6,十勝千年の森,屋外,,,,,,,,,,,,,,,,,,○,,○,○,○,○,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
089-0111,北海道,上川郡清水町南3条3-1,清水町文化センター,屋内,大ホール,,,,,,,,,,,,,,,○,,○,,○,○,○,○,○,○,○,○,○,,○,,○,,○,,○,○,○,,○,○,○
089-0563,北海道,中川郡幕別町千住180-1,幕別町百年記念ホール,屋内,1Fホール,,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
089-0563,北海道,中川郡幕別町千住180-1,幕別町百年記念ホール,屋内,2Fホール,,,,,,,,,,,,,,,,,○,,○,○,○,○,○,○,○,○,○,,○,,○,,○,,○,○,○,,○,○,○
089-0563,北海道,中川郡幕別町千住180-1,幕別町百年記念ホール,屋外,,,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
089-1344,北海道,河西郡中札内村東4条南6-1-3,中札内文化創造センター,屋内,ハーモニーホール,,,,,,,,,,,,,,,○,,○,,○,○,○,○,○,○,,,,,,,,,,,,,,,,○,○
089-1330,北海道,河西郡中札内村大通南7,道の駅なかさつない,屋外,,,,,,,,,,,,,,,,,,○,,○,○,○,○,○,,,,,,,,,,,,,,,,,,○
089-1500,北海道,河西郡更別村字更別189-1,更別村ふるさと館,屋外,,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,○,,,,,,,,,,,,,,,,○,○
089-1500,北海道,河西郡更別村字弘和464-1,道の駅さらべつ,屋外,,,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,,,,,,,,,,,,,,,,,,○
089-1701,北海道,中川郡幕別町忠類白銀町384-12,道の駅忠類,屋外,,,,,,,,,,,,,,,,,,○,○,○,○,○,○,○,,,,,,,,,,,,,,,,,,○
089-2132,北海道,広尾郡大樹町双葉町6-1,大樹町生涯学習センター,屋内,コスモスホール,,,,,,,,,,,,,,,,,○,○,○,○,○,○,,○,,,,,,,,,,,,,,,,○,○
089-2140,北海道,広尾郡大樹町栄通29,大樹町福祉センター,屋内,大ホール,,,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
089-2152,北海道,広尾郡大樹町西本通98,子スモール大樹,屋外,,,,,,,,,,,,,,,,,,○,○,○,○,○,○,,○,,,,,,,,,,,,,,,,○,○
089-2602,北海道,広尾郡広尾町東2条10-1,広尾町児童福祉会館,屋内,大ホール,,,,,,,,,,,,,,,,○,,○,,○,,,,,,,,,,,,,,,,,,,○,○,○
089-3334,北海道,中川郡本別町北1,利別川河川敷,屋外,特設会場,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,○
089-3334,北海道,中川郡本別町北3-1-1,ステラ★ほんべつ,屋外,,,,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,○
089-3334,北海道,中川郡本別町北1-4-27,本別町中央公民館,屋内,大ホール,,,,,,,,,,,,,,,○,,○,,○,○,○,○,,○,,○,,,,○,,○,,○,,○,,○,,○,○
089-3711,北海道,足寄郡足寄町南1条5-3,足寄町民センター,屋内,多目的ホール,,,,,,,,,,,,,,,,,○,,○,○,○,○,,○,,○,,,,○,,○,,○,,○,,○,,○,○
089-3732,北海道,足寄郡足寄町里見が丘7-1,足寄町総合体育館,屋内,アリーナ,,,,,,,,,,,,,,,,,○,,○,○,○,○,,○,,○,,,,○,,○,,○,,○,,○,,○,○
089-3701,北海道,足寄郡足寄町北1条1-3,あしょろ銀河ホール２１,屋内,銀河ホール,,,,,,,,,,,,,,,,,○,,○,○,○,○,,○,,○,,,,○,,○,,○,,○,,○,,○,○
089-3701,北海道,足寄郡足寄町北1条1-3,あしょろ銀河ホール２１,屋外,,,,,,,,,,,,,,,,,,○,,○,○,○,○,,○,,○,,,,○,,○,,○,,○,,○,,○,○
089-3700,北海道,足寄郡足寄町中矢673-4,道の駅足寄湖,屋外,,,,,,,,,,,,,,,,,,○,,○,○,○,○,○,○,,,○,,○,,○,,○,,,,,○,,○,○
089-4300,北海道,足寄郡陸別町陸別東1条3-1,陸別町タウンホール,屋内,タウンホール,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
089-4315,北海道,足寄郡陸別町大通,オーロラタウン９３りくべつ,屋外,,,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
089-5312,北海道,中川郡豊頃町茂岩本町166,豊頃町える夢館,屋内,はるにれホール,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,,,,,,,,,,,,,,,○,○,○,○
089-5603,北海道,十勝郡浦幌町本町100,浦幌町コスミックホール,屋内,多目的ホール,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,○,,,○,,○,,○,,○,,○,,○,○,○,○,○
089-5600,北海道,十勝郡浦幌町字東山町22,うらほろ森林公園,屋外,林間広場,,,,,,,,,,,,,,,,○,○,○,○,○,○,○,,○,,,,,○,,○,,○,,○,,,○,○,○,○
089-5600,北海道,十勝郡浦幌町字北町16,道の駅うらほろ,屋外,,,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,,,○,,○,,○,,○,,○,,○,,○,○,○
090-0023,北海道,北見市北3条東1-2,北見経済センター,屋内,大ホール,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,○,○,○,○,,○,,○,○
090-0035,北海道,北見市北斗町2-3-24,ＮＨＫ北見放送局,屋内,第一スタジオ,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,○,,○,○
090-0035,北海道,北見市北斗町2-3-24,ＮＨＫ北見放送局,屋内,ＮＣ,,,,,,,,,,,,,,,,,,,,,,,,○,,,,○,,○,,○,,○,,,,○,,○,○
090-0035,北海道,北見市北斗町2-3-24,ＮＨＫ北見放送局,屋外,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,○,,,,,,,○,,○,○
090-0061,北海道,北見市東陵町27,北見市立体育センター,屋内,アリーナ,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,○,,○,,○,,○,,,○,,○,○
090-0807,北海道,北見市川東37,北見オニオンホール,屋内,ホール,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,○,,○,,○,,○,,,○,,○,○
090-0811,北海道,北見市泉町1-3-22,北見芸術文化ホール,屋内,中ホール,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,○,,○,○
090-0811,北海道,北見市泉町1-3-22,北見芸術文化ホール,屋外,,,,,,,,,,,,,,,,,,,,,,,,○,,,,○,,○,,○,,,,○,,,○,,○,○
090-0817,北海道,北見市常盤町2-1-10,北見市民会館,屋内,大ホール,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,○,○,○,○,,○,,○,○
091-0153,北海道,北見市留辺蘂町松山1-4,おんねゆ温泉,屋外,,,,,,,,,,,,,,,○,○,○,,,,,,○,,,,,,,,○,,○,,○,,,○,○,○,○,○
092-0000,北海道,網走郡美幌町字古梅,ぐるっとパノラマ美幌峠,屋外,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,○,○,,○,,○
092-0200,北海道,網走郡津別町字豊永5-1,津別町中央公民館,屋内,講堂,,,,,,,,,,,,,,,○,,,,,,,,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
092-0200,北海道,網走郡津別町字相生,道の駅あいおい,屋外,,,,,,,,,,,,,,,,○,○,,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
092-0000,北海道,網走郡美幌町字東2条北4-9,美幌町民会館,屋内,第１ホール,,,,,,,,,,,,,,,○,,,,,,,○,○,○,○,○,,○,,,,,,○,,○,○,○,○,○,○
092-0000,北海道,網走郡美幌町字東2条北4-9,美幌町民会館,屋内,第２ホール,,,,,,,,,,,,,,,○,,,,,,,○,○,○,○,○,,○,,,,,,○,,○,○,○,○,○,○
093-0003,北海道,網走市南3条東4,流氷街道網走,屋外,,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,○,,,,,,,,,,,,,,○,○,○,○
093-0016,北海道,網走市南6条西1,網走市民会館,屋内,大ホール,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,○,,,,,,,,,,,,,,○,○,○,○
093-0072,北海道,網走市北2条西3-3,オホーツク・文化交流センター,屋内,エコーホール,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,○,,,,,,,,,,,,,,○,○,○,○
090-0000,北海道,北見市常呂町字土佐2-2,アドヴィックス常呂カーリングホール,屋内,カーリング場,,,,,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,○,○,,○,○,○,○,○,○
093-0500,北海道,常呂郡佐呂間町字浪速121-3,道の駅サロマ湖,屋外,,,,,,,,,,,,,,,,○,,,,,,,,○,○,,,,,,,,○,○,○,○,○,○,○,○,○,○
093-0423,北海道,常呂郡佐呂間町浜佐呂間310-5,浜佐呂間公民館,屋内,ホール,,,,,,,,,,,,,,,,,,,,,,○,○,○,,,,,,,,○,○,○,○,○,○,○,○,○,○
099-6400,北海道,紋別郡湧別町字志撫子6-2,愛ランド湧別,屋外,,,,,,,,,,,,,,,,,,,,,,,○,○,○,,,,,,,,○,○,○,○,○,○,○,○,○,○
094-0005,北海道,紋別市幸町3-1-8,紋別市文化会館,屋内,多目的ホール,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
094-0006,北海道,紋別市潮見町1-4-3,紋別市民会館,屋内,小ホール,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
094-0006,北海道,紋別市潮見町1-4-3,紋別市民会館,屋内,大ホール,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
094-0023,北海道,紋別市元紋別11-6,オホーツク紋別,屋外,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,○,○,○,○,○,○,○,○,○,○
095-0016,北海道,士別市東6条4,士別市民文化センター,屋内,小ホール,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,○,,○,,○,,○,○
095-0401,北海道,士別市朝日町中央4038,あさひサンライズホール,屋内,こだまホール,,,,,,,,,,,,,,,,,,,,,○,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○,○
095-0401,北海道,士別市朝日町中央4038,あさひサンライズホール,屋外,,,,,,,,,,,,,,,,,,,,,,○,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○,○
096-0000,北海道,名寄市西13条南4-2,名寄市民文化センター,屋内,多目的ホール,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,○,,,○,,○,,○,,○,,○,○
097-0022,北海道,稚内市中央3,稚内総合文化センター,屋内,大ホール,○,,,,,,,,,,○,○,○,○,○,○,,,,,,,○,,○,,,,,,,,,,○,,○,○,○,○,○
097-0023,北海道,稚内市開運,道の駅わっかない,屋外,,○,,,,,,,,,,○,○,○,○,,,,,,,,,○,,○,,,,,,,,,,○,,○,○,○,○,○
097-0401,北海道,利尻郡利尻町沓形字富士見町2-2,利尻町交流促進施設どんと,屋内,ホール,○,○,,,,,,,,○,○,○,○,○,,,,,,,,,○,,,,,○,,,,,,,,,,○,○,,○
