郵便番号,都道府県名,住所,施設名,屋内外,適用エリア,13CH,14CH,15CH,16CH,17CH,18CH,19CH,20CH,21CH,22CH,23CH,24CH,25CH,26CH,27CH,28CH,29CH,30CH,31CH,32CH,33CH,34CH,35CH,36CH,37CH,38CH,39CH,40CH,41CH,42CH,43CH,44CH,45CH,46CH,47CH,48CH,49CH,50CH,51CH,52CH,53CH
004-0873,北海道,札幌市清田区平岡3条5-3-1,イオン平岡,屋内,1Fテナント内,,,,,,,,,,,,,,,,○,,,,,,,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
004-0873,北海道,札幌市清田区平岡3条5-3-1,イオン平岡,屋内,2Fテナント内,,,,,,,,,,,,,,,,○,,,,,,,○,○,,,,,,,,,,,○,,○,,○,○,○
004-0881,北海道,札幌市清田区平岡公園1-1,平岡公園,屋外,,,,,,,,,,,,,,,,,○,,,,,,,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
005-0017,北海道,札幌市南区真駒内公園1-1,真駒内セキスイハイムアイスアリーナ,屋内,南ホール,,,,,,,,,,,,,,,,,,,○,○,,,,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
005-0017,北海道,札幌市南区真駒内公園1-1,真駒内セキスイハイムアイスアリーナ,屋外,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,○,,,,,○,○
005-0022,北海道,札幌市南区真駒内柏丘7-8-1,北海道青少年会館コンパス,屋内,ホール,,,,,,,,,,,,,,,,○,,,,,,,,○,○,,○,,○,,○,,○,,,,,,○,○,○
005-0000,北海道,札幌市南区南35条西11-3-11,(有）キタエンタープライズ,屋内,倉庫,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,○,,,,,○,○
005-0806,北海道,札幌市南区川沿6条3-6-19,m-size事務所,屋内,事務所,,,,,,,,,,,,,,,,,,○,○,,,,,○,,,,,,,,,,,○,,,,,○,○
005-0862,北海道,札幌市南区滝野247,滝野すずらん丘陵公園,屋外,,,,,,○,,,,,,,,,,○,,,,,,,,○,,,,,,,,,,,,○,,○,,○,○,○
005-0864,北海道,札幌市南区芸術の森2-75,札幌芸術の森,屋内,アリーナ,,,,,,,,,,,,,,,,○,,○,○,○,○,,,○,,,,,,,,,,,,,,,,○,○
005-0864,北海道,札幌市南区芸術の森2-75,札幌芸術の森,屋外,,,,,,,,,,,,,,,,,○,,○,○,○,,,,○,,,,,,,,,,,,,,,,○,○
006-0004,北海道,札幌市手稲区西宮の沢4条3-5-6,ライフコートガーデン東館,屋内,食堂,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,○,,○,,○,,○,,○,,○,○,○
006-0004,北海道,札幌市手稲区西宮の沢4条3-5-5,ライフコートガーデン南館,屋内,食堂,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,○,,○,,○,,○,,○,,○,○,○
006-0004,北海道,札幌市手稲区西宮の沢4条3-5-10,ライフコート手稲,屋内,食堂,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,○,,○,,○,,○,,○,,○,○,○
006-0004,北海道,札幌市手稲区西宮の沢4条3-5-20,ライフコート手稲西,屋内,食堂,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,○,,○,,○,,○,,○,,○,○,○
006-0004,北海道,札幌市手稲区西宮の沢4条2-2-20,ライフコート西宮の沢,屋内,食堂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○
006-0004,北海道,札幌市手稲区西宮の沢4条2-3-20,ライフコート宮の沢,屋内,食堂,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,,,,,,,,,,,○,○,○
006-0811,北海道,札幌市手稲区前田1条11,札幌市手稲区民センター,屋内,区民ホール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,○
006-0817,北海道,札幌市手稲区前田7条15-4-1,北海道科学大学,屋外,講堂,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,○,,○,,○
006-0832,北海道,札幌市手稲区曙2条1-2-46,手稲区体育館,屋内,競技室,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,,,,,,,,,,,○,○,○
007-0011,北海道,札幌市東区モエレ沼公園1-1,モエレ沼公園,屋内,ガラスのピラミッド,,,,,,,,,,,,,,,○,○,,,,,,,○,○,,,,,,,,,,,,,○,,○,○,○
007-0011,北海道,札幌市東区モエレ沼公園1-1,モエレ沼公園,屋外,ミュージックシェル,,,,,,,,,,,,,,,○,○,,,,,,,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
007-0803,北海道,札幌市東区東苗穂3条2,東苗穂温泉千の湯,屋内,屋内,,,,,,,,,,,,,,,,○,,,,,,,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
007-0805,北海道,札幌市東区東苗穂5条2-6-10,Audi札幌東,屋内,ショールーム,,,,,,,,,,,,,,,○,○,,,,,,,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
007-0805,北海道,札幌市東区東苗穂5条2-5-19,Volkswagen札幌東,屋内,フォルクスワーゲン札幌東,,,,,,,,,,,,,,,○,○,,,,,,,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
007-0852,北海道,札幌市東区栄町885-1,コミュニティードーム,屋内,屋内アリーナ,,,,,,,,,,,,,,,,○,,,,,,,,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
007-0880,北海道,札幌市東区丘珠町584-2,サッポロさとらんど,屋外,園内,,,,,,,,,,,,,,,,○,,,,,,,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
040-0001,北海道,函館市五稜郭町37-8,函館市芸術ホール,屋内,ホール,,,,,,,,,○,,,,,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
040-0001,北海道,函館市五稜郭町37-8,函館市芸術ホール,屋外,,,,,,,,,,○,,,,,,○,○,○,,○,,○,○,○,○,○,,○,,○,,○,,○,,○,○,○,○,○,○,○
040-0033,北海道,函館市千歳町13-1,ＮＨＫ函館放送局,屋内,ロビー,,,,,,,,,○,,,,,,○,○,○,,○,,○,○,○,○,○,,○,,○,,○,,○,,○,○,○,○,○,○,○
040-0033,北海道,函館市千歳町13-1,ＮＨＫ函館放送局,屋内,ＮＣ,,,,,,,,,,,,,,,,○,○,,○,,○,○,○,○,○,,○,,○,,○,,○,,○,○,○,○,○,○,○
040-0033,北海道,函館市千歳町13-1,ＮＨＫ函館放送局,屋外,,,,,,,,,,○,,,,,,○,○,○,,○,,○,○,○,○,○,,○,,○,,○,,○,,○,○,○,○,○,○,○
040-0044,北海道,函館市青柳町17-3,函館公園,屋外,,,,,,,,,,,,,,,,,○,○,○,,,,○,○,,○,,○,,○,,,,○,,○,,○,○,,○,○
040-0053,北海道,函館市末広町14-12,金森ホール,屋内,ホール,,,,,,,,,,,,,,,○,○,○,,○,,○,○,○,○,○,,○,,○,,○,,○,,○,○,○,○,○,○,○
040-0063,北海道,函館市若松町18-1,大門グリーンプラザ,屋外,Aブロック、Bブロック、Cブロック,,,,,,,,,,,,,,,,,,,,,,,○,,○,,○,,○,,,,○,,○,,○,○,,○,○
040-0063,北海道,函館市若松町9,函館朝市,屋外,,,,,,,,,,,,,,,,,○,○,,○,,○,○,○,○,○,,○,,○,,○,,○,,○,○,○,○,○,○,○
041-0525,北海道,函館市日ノ浜町31-2,なとわ・えさん,屋外,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,○,,,,,,,,,,○,,,,○
041-0806,北海道,函館市美原1-19-12,club COCOA,屋内,ステージ,,,,,,,,,,,,,,,,,○,,,,,○,○,○,○,,○,,○,,,,○,,○,○,○,○,○,○,○
041-1100,北海道,亀田郡七飯町字西大沼温泉,函館大沼プリンスホテル,屋内,プリンスホール,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,○,○,○,○,○
041-1111,北海道,亀田郡七飯町本町6-1-2,七飯町文化センター,屋内,パイオニアホール,,,,,,,,,,,,,,,○,,,,,,,,○,,,,,,,,,,,,,,○,○,,○,○
041-1400,北海道,茅部郡鹿部町字宮浜265-1,鹿部町総合体育館,屋内,アリーナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,○,○,○
041-1613,北海道,函館市臼尻町551-1,縄文ロマン南かやべ,屋外,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,○,,○
042-0932,北海道,函館市湯川町1-32-2,函館アリーナ,屋内,メインアリーナ、武道館,,,,,,,,,,,,,,,○,,,,,,,○,○,,○,,○,,○,,,,○,,○,,○,○,,○,○
042-0932,北海道,函館市湯川町1-32-1,函館市民会館,屋内,大ホール,,,,,,,,,○,,,,,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
042-0932,北海道,函館市湯川町1-32-1,函館市民会館,屋外,,,,,,,,,,○,,,,,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,○,○,○,○,○,○,○
043-0000,北海道,檜山郡江差町字尾山町1,道の駅江差,屋外,,,,,,,,,,,,○,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,○,,○
043-0000,北海道,檜山郡江差町字茂尻町71,江差町文化会館,屋内,小ホール,,,,,,,,,,,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○
043-0100,北海道,爾志郡乙部町字元和69,ルート２２９元和台,屋外,,,,,,,,,,,,○,○,○,○,,,,,,,,,,,,,,,,,,○,,,,,,,○,,○
043-0514,北海道,久遠郡せたな町大成区平浜378,てっくいランド大成,屋外,,,,,,,,,,,○,,○,,○,○,○,,○,,○,,○,○,○,,○,,,,,,,,,,,,○,○,○,○
043-1112,北海道,檜山郡厚沢部町緑町72-1,道の駅あっさぶ,屋外,,,,,,,,,,,,○,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,○
043-1113,北海道,檜山郡厚沢部町新町234-1,厚沢部町総合体育館,屋内,競技場,,,,,,,,,,,○,○,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,○
043-1521,北海道,奥尻郡奥尻町青苗,青苗漁港,屋外,,,,,,,,,,,○,,○,,○,○,,,,,,,,○,,,○,,,,,,,,,,,,,○,,○
043-1521,北海道,奥尻郡奥尻町青苗36,津波館,屋内,館内,,,,,,,,,,○,,○,,○,○,○,,○,,○,,○,○,○,,○,,,,,,,,,,,,○,○,○,○
043-1521,北海道,奥尻郡奥尻町青苗36,津波館,屋外,,,,,,,,,,,○,,○,,○,○,,,,,,,,○,,,○,,,,,,,,,,,,,○,,○
044-0013,北海道,虻田郡倶知安町南3条東4-2-2,倶知安町文化福祉センター,屋内,大ホール,,,,,,,,,,,,,,,,,,○,,○,,,○,,,○,○,,,,,,,,,,○,,○,,○
044-0100,北海道,虻田郡京極町字川西45-1,名水の郷きょうごく,屋外,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,○,,○
044-0200,北海道,虻田郡喜茂別町字川上345,望羊中山,屋外,,,,,,,,,,,,,,,,,,,○,○,○,○,,○,,,○,○,,○,,○,,○,,○,,○,,○,,○
045-0003,北海道,岩内郡岩内町万代51-7,岩内地方文化センター,屋内,大ホール,,,,,,,,,,,,,,,○,,○,○,,○,,,○,,○,○,○,○,,○,,○,,○,,,,○,,○,○
045-0000,北海道,岩内郡岩内町字万代47-4,道の駅いわない,屋外,,,,,,,,,,,,,,,,,,○,○,,○,,,○,,○,○,○,○,,○,,○,,○,,,,○,,○,○
045-0200,北海道,古宇郡泊村大字興志内村字茂岩,盃海水浴場,屋外,盃海水浴場,,,,,,,,,,,,,,,,,○,○,○,○,○,,○,○,○,○,○,○,,○,○,○,○,○,,○,,○,,○,○
045-0300,北海道,古宇郡神恵内村大字赤石村字大森292-1,オスコイ！かもえない,屋外,,,,,,,,,,,,,,,,,,○,○,,○,,,○,,○,○,○,○,,○,,○,,○,,,,○,,○,○
046-0001,北海道,余市郡余市町栄町22-1,鶴亀温泉,屋内,店内,,,,,,,,,,,,,,,,,,,,,,,○,,,○,,,,,,,,○,,○,,,,,○
046-0002,北海道,余市郡余市町登町1976,藤本観光農園,屋外,,,,,,,,,,,,,,,,,,,,,,,,○,,,○,,,,,,,,○,,○,,,,,○
046-0004,北海道,余市郡余市町大川町4-143,中央公民館,屋内,講堂大ホール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,,,,○
046-0201,北海道,積丹郡積丹町美国町,美国漁港,屋外,,,,,,,,,,,,,,,,,○,,,,,,○,○,○,,○,○,○,○,,,,,○,,○,,○,○,○,○
,北海道,赤井川村字常盤128-1,キロロ トリビュートポートフォリオホテル 北海道,屋内,グレートルーム,,,,,,,,,,,,,,,,○,,,,,,○,○,○,,○,,○,,,,○,,○,,○,○,○,○,○,○
,北海道,赤井川村字常盤128-1,キロロ トリビュートポートフォリオホテル 北海道,屋内,ロビー,,,,,,,,,,,,,,,,○,,,,,,○,○,○,,○,,○,,,,○,,○,,○,○,○,,○,○
046-0571,北海道,余市郡赤井川村常盤128-1,キロロリゾート マウンテンセンター,屋内,エントランス,,,,○,○,○,,,,,,○,,○,○,○,,,,,,○,○,○,,○,,○,,,,○,,○,,○,○,○,○,○,○
046-0571,北海道,余市郡赤井川村常盤650,シェラトン北海道キロロリゾート,屋外,ゲレンデ,,,,,,,,,,,,,,,,○,,,,,,○,○,○,,○,,○,,,,○,,○,,○,,○,○,○,○
046-0003,北海道,余市郡余市町黒川町7-25,柿崎商店,屋内,店内,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,,,,○
046-0003,北海道,余市郡余市町黒川町6-4-1,スペース・アップルよいち,屋外,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,,,,○
047-0008,北海道,小樽市築港11-5,ウィングベイ小樽,屋内,ネイチャーチャンバー,,,,,,,,,,,,,,,○,,,,,,,,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
047-0008,北海道,小樽市築港11-3,グランドパーク小樽,屋内,宴会場「樹林」,,,,,,,,,,,,,,,,,,,,,,,,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
047-0024,北海道,小樽市花園5-2-2,小樽市総合体育館,屋内,アリーナ,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
047-0024,北海道,小樽市花園5-3-1,小樽市民会館,屋内,ホール,,,,,○,,,,,,,,,,○,,,,,,,,○,○,○,○,○,,○,○,○,,○,,○,,○,,○,○,○
047-0031,北海道,小樽市色内3-3-21,小樽GOLD STONE,屋内,EVENT SPACE,,,,,,,,,,,,,,,○,,,,,,,,,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
047-0031,北海道,小樽市色内2-13-5,小樽市民センター,屋内,マリンホール,,,,,,,,,,,,,,,○,,,,,,,,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
047-0032,北海道,小樽市稲穂3-10-16,小樽三角市場,屋外,,,,,,,,,,,,,,,,,,,,,,,,,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
047-0041,北海道,小樽市手宮1-6,小樽運河,屋外,,,,,,○,,,,,,,,,,○,,,,,,,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
047-0047,北海道,小樽市祝津3-303,おたる水族館,屋外,,,,,,○,,,,,,,,,,○,,,,,,,,○,○,,,,,,,,,,,,,○,,○,,○
047-0154,北海道,小樽市朝里川温泉2-676,小樽朝里クラッセホテル　プラザ棟,屋内,フーシー,,,,,,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,○,,○,○,○
047-0156,北海道,小樽市桜1-1-13,銀鱗荘,屋内,レストラン,,,,,,,,,,,,,,,,,,,,,,,,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
047-0000,北海道,小樽市銭函3-73,小樽カントリー倶楽部,屋外,クラブハウス周辺,,,,,,,,,,,,,,,,,,,,,,,,○,,,○,,,,○,,,,,,,,,,○
047-0000,北海道,小樽市銭函3-75,小樽ドリームビーチ,屋外,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,○
047-0265,北海道,小樽市春香町357,スノークルーズオーンズ,屋外,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,○
047-0265,北海道,小樽市春香町314,ハルカヤマ藝術要塞,屋外,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,○
048-0100,北海道,寿都郡黒松内町字白井川8-10,道の駅くろまつない,屋外,,,,,,,,,,,,,,,,,○,○,○,,○,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
048-0400,北海道,寿都郡寿都町字大磯町29-1,みなとま～れ寿都,屋外,,,,,,,,,,,,,,,,,,,,○,,,,,,○,○,,,,,,○,,,,,,,,,○
048-0405,北海道,寿都郡寿都町開進町187-1,寿都町総合文化センターウィズコム,屋内,大ホール,,,,,,,,,,,,,,,,,,,○,,,,,○,○,○,,,,,,○,,,,,,,,,○
048-0631,北海道,島牧郡島牧村千走11-1,よってけ！島牧,屋外,,,,,○,○,,,○,,○,,○,,○,○,,○,○,○,○,○,,○,○,○,○,○,○,,○,○,○,○,○,,○,,○,,○,○
048-1300,北海道,磯谷郡蘭越町字相生969,らんこし・ふるさとの丘,屋外,,,,,,,,,,,,,,,,,,○,○,○,○,○,,○,,○,○,○,○,,○,○,○,○,○,,○,,○,,○,○
048-1341,北海道,磯谷郡蘭越町港町1402-1,シェルプラザ・港,屋外,,,,,,,,,,,,,,,,,,,,○,,,,,,○,○,,,,,,○,,,,,,,,,○
048-1521,北海道,虻田郡ニセコ町東山温泉,ヒルトンニセコビレッジ,屋内,大宴会場,,,,,,,,,,,,,,,,,,○,○,,○,,,,,○,○,,,,,,○,,,,,,○,,○
048-1500,北海道,虻田郡ニセコ町字元町77-10,ニセコビュープラザ,屋外,,,,,,,,,,,,,,,,,,,○,○,○,○,,,,,,,,,,,,○,,,,,,,,○
048-1600,北海道,虻田郡真狩村字光8-3,真狩フラワーセンター,屋外,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,○,,○
048-1700,北海道,虻田郡留寿都村字泉川13,ルスツリゾートホテル,屋内,ルスツアリーナ、クレセントホール,,,,,,,,,,,,,,,,,,○,,,,,,,,○,○,,,,,,○,,,,,,○,,○
048-1700,北海道,虻田郡留寿都村字泉川13,ルスツリゾート遊園地,屋外,園内,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,○,,,,,,○,,○
048-1700,北海道,虻田郡留寿都村字留寿都127,２３０ルスツ,屋外,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,○,,○
048-2202,北海道,岩内郡共和町南幌似37-22,共和町憩いの広場,屋外,共和町憩いの広場,,,,,,,,,,,,,,,,,,○,,○,,,,,,○,○,○,,○,,○,,○,,,○,○,○,○,○
048-2202,北海道,岩内郡共和町南幌似37-22,共和町生涯学習センター体育館,屋内,体育館,,,,○,○,,,,,,,,,,,,,○,,○,,,,,,○,○,○,,○,,○,,○,,,,○,,○,○
049-0152,北海道,北斗市押上1-3-1,北斗市総合体育館,屋内,主体育館,,,,,,,,,,,,,,,,,,,,,,○,○,,○,,○,,○,,,,○,,○,,○,○,,○,○
049-0156,北海道,北斗市中野通2-13-1,北斗市総合文化センターかなでーる,屋内,大ホール,,,,,,,,,,,,,,,○,,,,,,,○,○,,,,,,,,,,○,,○,,○,○,,○,○
049-0162,北海道,北斗市中央1-3-10,北斗市公民館,屋内,講堂,,,,,,,,,,,,,,,,,○,,,,,○,○,,○,,,,,,,,,,,,○,○,,○,○
049-0400,北海道,上磯郡木古内町字木古内179-1,木古内町中央公民館,屋内,多目的ホール,,,,,,,,,,,,,,,○,,,,,,,,○,,,,,,,,,○,,,,,○,○,,○,○
049-0600,北海道,檜山郡上ノ国町字原歌3,上の国もんじゅ,屋外,,,,,,,,,,,,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○
049-1103,北海道,上磯郡知内町重内,知内川河川敷,屋外,知内川河川敷特設会場,,,,,,,,,,,,,,,,,,,,,,○,○,○,,,,,,,,,○,,○,○,○,○,○,○,○
049-1100,北海道,上磯郡知内町字重内21-1,知内町農業者トレーニングセンター,屋内,メインアリーナ,,,,,,,,,,,,,,,○,,,,,,,○,○,,,,,,,,,,○,,○,,○,○,,○,○
